BirdID,Sex,Tarsus,BillL,BillW,Tail,Wing,Weight
TA14548,F,19.0,14.6,6.5,58.0,67.0,25.5
TA14549,F,18.2,13.3,6.6,56.0,75.0,28.4
TA14549,F,18.0,13.9,6.8,54.0,75.0,26.0
TA14549,F,18.4,12.8,6.5,58.0,76.0,24.4
TA14553,M,18.9,14.0,6.5,57.0,80.0,26.8
TA14553,M,19.0,13.4,6.5,,78.0,28.0
TA14553,M,18.1,13.5,6.4,60.0,80.0,29.2
TA14554,F,19.0,13.6,6.4,56.0,76.0,28.4
TA14554,F,19.2,13.1,6.3,53.0,74.0,32.8
TA14554,F,19.0,13.0,6.3,56.5,77.0,28.1
TA14554,F,19.4,13.2,6.1,57.0,76.0,28.6
TA14561,F,18.5,13.9,6.7,55.5,76.3,28.2
TA14561,F,18.4,14.0,6.6,55.0,76.0,26.8
TA14561,F,18.6,13.9,6.1,59.0,78.0,26.1
TA14565,F,18.7,13.1,6.4,54.8,74.8,25.6
TA14565,F,18.4,13.1,6.6,52.0,74.0,25.9
TA14565,F,18.8,13.3,6.4,55.0,76.0,26.9
TA14565,F,18.7,13.6,6.5,54.0,76.0,25.2
TA14571,M,19.3,12.6,6.5,61.7,81.7,27.1
TA14571,M,18.9,13.0,6.7,61.0,82.0,28.8
TA14573,M,19.1,13.4,6.5,60.0,82.5,29.0
TA14573,M,18.5,12.8,6.3,59.0,81.0,29.8
TA14573,M,19.2,13.3,6.3,62.5,83.5,29.8
TA14573,M,19.7,13.0,6.4,63.0,84.0,30.2
TA14574,M,18.4,13.1,6.7,60.5,80.5,25.7
TA14574,M,18.4,12.9,6.4,62.0,81.7,27.6
TA14581,M,18.2,13.0,6.5,57.5,78.0,26.7
TA14581,M,18.1,13.1,6.3,58.5,78.5,28.5
TA14581,M,18.3,13.1,6.5,59.0,79.0,25.6
TA14586,F,18.4,13.1,6.4,58.7,78.3,27.5
TA14586,F,18.4,13.2,6.5,55.0,77.5,23.5
TA14586,F,18.5,13.5,6.4,59.0,79.0,27.5
TA14586,F,18.7,13.4,6.3,,78.5,26.3
TA14598,M,18.4,14.7,6.3,59.5,78.0,27.8
TA14598,M,18.5,14.8,6.5,59.0,78.0,27.0
TA14598,M,18.6,14.7,6.6,60.0,79.0,27.7
TA14599,M,19.4,14.0,6.9,60.5,79.7,30.0
TA14599,M,19.4,14.2,7.1,55.0,78.0,29.0
TA14600,F,18.5,14.1,6.5,55.0,75.0,28.5
TA14600,F,18.4,13.5,6.4,57.0,78.0,28.0
TA14600,F,18.6,13.8,6.1,58.0,76.0,28.2
TA14601,F,19.3,13.1,6.3,59.0,78.7,27.0
TA14601,F,19.4,13.0,6.5,,76.0,25.5
TA14601,F,19.2,12.1,6.3,60.0,78.0,25.3
TA14601,F,19.1,13.0,6.2,59.0,79.0,27.5
TA14604,F,19.0,14.1,6.4,58.0,78.0,29.0
TA14604,F,19.4,13.6,6.3,60.5,79.0,30.7
TA14604,F,19.4,13.4,6.0,61.0,79.0,29.6
TA14606,F,17.3,12.1,6.4,55.7,75.0,27.5
TA14606,F,17.3,11.8,6.5,55.5,74.0,27.5
TA14606,F,17.3,11.9,6.1,57.0,75.5,27.3
TA14606,F,17.4,12.0,6.2,57.0,77.0,26.1
TA14607,F,18.5,12.8,6.1,58.0,77.0,28.0
TA14607,F,18.4,12.4,6.4,59.0,78.0,27.9
TA14608,F,18.5,,,,75.0,27.3
TA14608,F,18.3,13.3,6.8,57.0,74.0,29.0
TA14610,F,17.7,13.1,7.0,55.5,74.5,27.6
TA14610,F,17.7,13.5,6.4,59.0,76.0,24.8
TA14612,M,19.0,12.3,6.7,62.0,80.0,26.8
TA14612,M,19.1,13.1,6.5,61.0,81.0,27.0
TA14630,M,18.3,,,,79.0,27.0
TA14630,M,18.5,13.4,6.6,55.0,77.0,26.8
TA14638,F,19.8,14.0,6.6,58.0,80.0,32.5
TA14638,F,19.6,13.8,6.5,60.0,80.5,31.6
TA14638,F,19.9,14.0,6.7,60.0,81.0,33.0
TA14644,M,20.0,12.9,6.2,57.0,79.0,27.0
TA14644,M,19.7,12.8,6.5,57.0,78.0,28.3
TA14644,M,19.9,12.8,6.6,58.5,80.0,28.9
TA14645,F,19.1,12.9,6.2,54.0,76.0,26.5
TA14645,F,19.0,12.8,6.2,54.0,75.0,26.1
TA14645,F,18.9,12.3,6.0,57.5,76.5,26.9
TA14645,F,19.3,12.4,6.1,57.0,77.0,27.1
TA14647,M,19.3,14.3,6.6,59.5,79.5,27.8
TA14647,M,19.4,13.1,6.4,61.0,80.0,27.8
TA14647,M,19.5,14.0,6.5,60.0,81.0,29.6
TA14649,M,17.2,12.5,6.0,56.0,77.0,27.0
TA14649,M,17.2,13.5,6.7,60.0,79.0,26.1
TA14651,M,17.4,12.9,6.1,54.0,76.3,26.2
TA14651,M,17.5,12.7,6.4,52.0,74.0,25.5
TB09016,F,17.0,,,,75.0,27.3
TB09016,F,17.0,12.1,6.0,59.0,77.0,25.2
TB09016,F,17.0,12.5,6.2,59.0,77.0,24.1
TB09019,F,18.3,13.2,6.2,59.0,78.0,25.5
TB09019,F,18.5,12.8,6.0,60.7,78.3,27.0
TB09027,M,17.6,13.0,6.8,55.5,76.0,25.8
TB09027,M,17.7,12.6,6.6,55.5,77.0,27.6
TB09027,M,17.8,12.8,6.5,57.0,76.0,27.8
TB09036,F,17.5,13.4,6.4,56.0,75.7,27.0
TB09036,F,17.8,13.0,6.5,58.0,76.5,27.6
TB09036,F,18.0,13.0,6.1,59.0,76.0,25.4
TB09046,M,19.9,12.9,6.4,59.0,81.0,26.0
TB09046,M,20.0,12.8,6.2,61.0,82.0,25.2
TB09046,M,19.8,13.0,6.2,62.0,82.0,28.0
TB09047,F,18.5,13.3,6.5,59.0,76.7,25.8
TB09047,F,18.8,13.5,6.8,59.5,77.0,27.0
TB09047,F,18.6,13.9,6.8,60.0,77.0,26.5
TB09054,M,18.8,13.4,6.7,57.0,78.0,30.0
TB09054,M,19.2,13.7,6.8,60.0,79.0,28.0
TB09055,M,19.0,14.3,7.1,57.5,77.0,27.0
TB09055,M,18.8,13.9,7.0,59.0,77.0,27.6
TB09062,M,19.2,13.7,6.7,57.0,78.0,28.6
TB09062,M,19.4,12.7,6.5,58.0,80.0,26.0
TB09067,F,18.3,,,,78.0,27.3
TB09067,F,18.5,13.5,6.9,59.0,78.0,28.1
TB09067,F,18.7,13.6,6.8,59.0,77.0,26.8
TB09068,F,18.5,13.4,6.7,57.0,76.0,26.4
TB09068,F,18.3,13.2,6.5,58.7,76.7,28.4
TB09068,F,18.6,12.8,6.1,60.0,77.0,25.5
TB09069,F,17.0,13.5,7.0,55.0,77.0,29.5
TB09069,F,17.8,13.7,6.7,57.0,78.0,30.6
TB09070,F,20.1,14.0,6.5,56.0,77.0,28.2
TB09070,F,19.9,14.0,6.7,57.0,78.0,27.8
TB09070,F,19.5,14.3,6.4,58.0,78.0,30.0
TB09072,F,18.0,13.5,6.7,57.0,79.0,25.2
TB09072,F,18.4,13.2,6.5,58.0,78.0,26.0
TB09072,F,18.1,13.3,6.2,58.0,78.0,29.2
TB09077,F,17.6,,,,73.0,28.8
TB09077,F,17.8,13.5,6.4,55.0,74.0,27.6
TB09077,F,18.0,13.2,6.5,52.0,74.0,28.5
TB09084,F,18.4,13.0,6.5,53.0,76.0,27.8
TB09084,F,18.5,13.3,6.3,55.5,76.5,28.8
TB09084,F,18.7,13.9,6.3,56.0,77.0,26.8
TB09089,F,18.5,13.0,6.8,53.0,77.0,26.0
TB09089,F,18.8,13.0,6.6,56.3,76.7,29.1
TB09089,F,19.1,12.5,6.2,56.0,77.0,28.8
TB09091,M,18.8,13.8,6.4,56.0,79.0,29.4
TB09091,M,18.9,14.0,6.3,58.0,79.5,28.8
TB09091,M,18.8,13.6,6.4,58.0,80.0,28.7
TB09092,F,19.0,13.7,6.8,54.0,77.0,29.6
TB09092,F,19.3,13.3,6.7,55.5,78.0,29.1
TB09092,F,19.5,13.6,6.6,58.0,78.0,28.5
TB09097,F,17.5,14.0,6.4,55.0,76.0,26.0
TB09097,F,17.9,13.5,6.1,57.0,76.0,30.1
TB09099,F,17.8,13.7,6.7,55.0,77.0,25.6
TB09099,F,17.9,13.1,6.3,57.7,77.3,26.9
TB09102,F,17.8,13.3,6.3,55.0,74.0,24.2
TB09102,F,17.8,13.3,6.2,57.5,75.0,24.4
TB09102,F,18.0,13.2,6.2,57.0,75.0,23.4
TB09105,M,18.8,13.6,6.5,60.0,80.0,28.2
TB09105,M,19.0,13.0,6.3,61.0,82.0,31.2
TB09105,M,18.9,13.3,6.4,62.0,81.0,30.5
TB09110,M,20.1,13.8,6.7,59.8,80.3,31.2
TB09110,M,20.2,13.3,6.7,61.0,82.0,31.8
TB09112,F,18.6,13.1,6.4,57.0,78.0,25.5
TB09112,F,18.4,12.8,6.2,59.0,78.0,26.8
TB09115,M,18.0,13.6,6.2,58.0,79.0,24.6
TB09115,M,18.3,13.3,6.0,59.5,79.0,26.5
TB09115,M,18.6,13.2,6.1,58.0,79.0,27.4
TB09118,F,18.3,14.7,6.9,55.5,77.0,27.1
TB09118,F,18.5,14.5,6.5,57.0,78.0,27.9
TB09118,F,18.8,14.1,6.4,58.0,78.0,24.5
TB09119,M,19.4,14.3,6.4,57.0,79.5,27.3
TB09119,M,19.5,14.0,6.3,61.0,82.0,32.0
TB09121,F,18.2,13.0,6.6,52.0,73.0,25.5
TB09121,F,18.2,12.7,6.5,55.0,74.5,24.4
TB09125,F,18.8,12.4,6.5,56.0,75.0,26.8
TB09125,F,18.2,12.5,6.5,52.0,73.0,26.4
TB09131,F,17.9,13.6,6.5,56.0,74.5,28.3
TB09131,F,18.0,13.3,6.4,58.7,75.3,28.0
TB09133,F,18.5,13.7,6.5,55.0,76.5,30.0
TB09133,F,18.9,13.7,6.4,56.0,76.0,28.5
TB09147,F,19.0,,,,76.0,30.0
TB09147,F,19.0,13.7,6.6,58.0,77.5,28.2
TB09147,F,19.3,13.2,6.5,58.0,78.0,29.5
TB09153,F,19.8,,,,77.0,27.0
TB09153,F,19.9,13.8,6.1,60.0,78.0,26.9
TB09153,F,20.0,14.1,6.4,59.0,77.0,30.4
TB09166,F,18.3,13.8,6.6,54.0,75.3,28.4
TB09166,F,18.4,13.5,6.5,58.0,78.0,27.7
TB09168,M,19.2,13.0,6.3,59.0,79.0,28.2
TB09168,M,19.0,13.5,6.4,60.0,80.0,28.1
TB09171,F,18.9,14.5,6.5,58.7,77.0,27.5
TB09171,F,18.9,14.4,6.4,60.3,79.0,29.3
TB09173,M,18.6,13.5,7.0,57.0,78.0,26.8
TB09173,M,18.7,13.1,6.5,60.0,80.0,29.4
TB09173,M,18.8,13.7,6.7,59.0,81.0,27.0
TB09174,F,18.8,13.7,6.6,55.7,77.7,27.3
TB09174,F,19.0,13.3,6.5,60.0,79.0,25.0
TB09178,M,19.0,13.7,6.3,59.0,79.0,26.1
TB09178,M,18.8,13.1,6.2,60.0,79.5,27.0
TB09178,M,18.8,13.3,6.0,60.0,80.0,26.5
TB09182,F,19.6,13.4,6.9,56.0,78.0,27.5
TB09182,F,20.0,13.6,6.6,57.0,80.0,27.8
TB09183,M,19.1,13.9,6.6,58.0,78.5,29.6
TB09183,M,19.0,13.8,6.5,58.0,80.0,28.9
TB09184,F,19.7,14.1,6.9,53.0,76.0,28.4
TB09184,F,19.6,14.2,6.6,55.3,76.3,28.6
TB09185,F,18.2,13.3,6.8,55.0,75.0,26.9
TB09185,F,18.3,13.5,6.7,57.3,75.7,27.1
TB09185,F,18.2,13.3,7.0,56.0,75.0,29.2
TB09188,M,19.3,13.0,6.2,56.0,75.7,28.0
TB09188,M,19.1,13.3,6.5,56.0,76.5,28.6
TB09188,M,19.4,13.0,6.3,58.0,77.0,30.0
TB09199,M,18.8,13.2,6.4,59.0,80.0,28.9
TB09199,M,18.8,13.0,6.0,61.0,81.5,28.9
TB09199,M,19.0,13.2,6.1,62.0,81.0,27.2
TB09206,F,18.1,14.4,6.7,57.5,79.5,28.8
TB09206,F,18.0,13.6,6.4,58.0,80.0,28.4
TB09207,F,18.7,13.4,6.6,55.3,76.7,28.1
TB09207,F,18.7,13.7,6.6,56.0,78.0,26.6
TB09207,F,18.5,13.7,6.2,57.0,79.0,27.2
TB09208,M,17.1,12.7,6.7,57.5,78.0,26.1
TB09208,M,17.2,12.2,6.5,59.0,79.0,25.4
TB09209,M,19.4,,,,78.0,29.8
TB09209,M,19.2,12.5,6.4,60.0,79.0,27.0
TB09226,F,18.9,13.8,6.5,57.0,76.5,29.0
TB09226,F,19.2,13.0,6.5,61.0,78.0,26.2
TB09229,M,19.0,12.9,6.1,55.5,77.0,27.3
TB09229,M,18.8,13.2,6.0,59.0,80.0,28.2
TB09229,M,19.1,13.2,6.2,58.0,80.0,26.4
TB09230,F,18.9,12.1,6.0,50.0,76.0,25.3
TB09230,F,19.0,12.2,5.6,54.0,76.0,26.6
TB09232,F,18.6,13.6,6.5,55.5,76.0,26.4
TB09232,F,18.5,13.0,6.1,58.0,76.0,27.4
TB09233,F,17.7,13.0,6.3,56.0,76.0,26.8
TB09233,F,17.7,13.0,6.1,57.0,76.0,26.8
TB09234,F,18.6,13.4,6.4,55.0,76.0,28.5
TB09234,F,18.8,13.0,6.4,56.5,78.0,29.4
TB09234,F,19.0,13.5,6.1,57.0,78.0,27.6
TB09236,M,19.8,13.6,6.8,56.0,77.5,29.4
TB09236,M,19.9,13.0,6.6,60.0,81.0,29.6
TB09243,F,19.1,13.3,6.2,54.5,75.5,28.3
TB09243,F,19.2,13.1,6.1,57.0,77.0,28.3
TB09243,F,18.3,13.2,6.1,58.0,77.0,27.5
TB09257,M,19.0,13.1,6.5,60.0,80.0,27.3
TB09257,M,18.9,13.3,6.4,61.0,81.0,27.8
TB09258,F,19.6,13.4,6.3,60.0,78.5,28.3
TB09258,F,19.9,13.2,6.5,60.0,79.0,29.4
TB09259,M,17.5,13.1,6.0,58.0,78.0,26.6
TB09259,M,17.6,13.5,6.0,59.0,79.0,26.2
TB09270,M,18.2,14.6,6.7,57.5,77.0,29.3
TB09270,M,18.6,14.4,6.6,59.5,79.0,29.6
TB09284,F,17.9,13.1,6.3,55.0,77.5,29.1
TB09284,F,18.3,13.5,6.5,59.0,78.0,26.8
TB09291,M,19.5,13.6,6.4,59.5,78.0,29.1
TB09291,M,19.7,13.7,6.1,60.0,79.0,27.4
TB09297,F,17.8,12.8,6.4,58.5,78.0,26.6
TB09297,F,18.0,13.1,6.3,59.0,79.0,24.5
TB09299,M,19.0,13.5,6.3,59.0,81.0,30.0
TB09299,M,19.0,13.7,6.4,60.0,81.0,28.4
TC19529,F,17.3,12.8,6.2,59.0,76.0,23.5
TC19529,F,17.2,13.3,6.0,60.0,77.0,25.5
TC19533,F,18.7,12.8,6.4,57.0,77.0,29.2
TC19533,F,18.2,13.0,6.3,56.0,78.0,29.5
TC19562,F,18.1,13.4,6.4,56.0,76.5,29.4
TC19562,F,18.5,13.2,6.7,59.0,77.0,25.4
TC19569,F,19.4,13.4,6.6,56.0,79.0,33.7
TC19569,F,19.5,13.0,6.3,60.0,79.0,29.8
TC19577,F,18.8,13.2,6.4,55.0,75.0,26.7
TC19577,F,19.0,13.2,6.5,57.0,75.0,29.8
TC19587,F,18.4,14.0,6.4,,76.0,26.1
TC19587,F,18.5,13.9,6.6,58.0,77.0,26.2
TC19603,M,19.3,12.3,6.5,56.0,79.0,27.5
TC19603,M,19.0,12.1,6.3,58.0,80.0,27.2
TC19609,M,19.5,13.3,6.5,58.0,79.0,28.5
TC19609,M,20.0,13.0,6.5,57.0,80.0,27.6
TC19617,M,18.1,13.1,6.0,55.0,79.0,25.0
TC19617,M,18.2,12.7,6.0,58.0,80.0,26.2
TC19647,F,18.5,12.4,6.3,57.0,77.0,26.0
TC19647,F,18.5,12.8,6.2,55.0,78.0,28.4
TC19663,M,19.5,13.0,6.0,55.0,78.0,27.2
TC19663,M,19.8,13.0,6.3,60.0,79.0,28.5
TC19664,F,18.6,12.6,6.2,57.0,75.0,24.2
TC19664,F,19.0,13.2,6.0,57.0,75.0,27.2
TC19674,M,19.0,14.1,6.5,58.0,80.0,27.8
TC19674,M,18.5,14.0,6.5,60.0,81.0,29.8
TC19676,M,18.8,13.4,6.5,56.0,77.0,26.5
TC19676,M,19.1,13.3,6.7,58.0,78.0,26.0
TC19685,M,19.5,12.5,6.8,61.0,80.0,30.8
TC19685,M,19.5,13.3,6.7,62.0,81.0,31.5
TC19695,M,18.4,13.2,6.5,54.0,75.0,26.7
TC19695,M,18.0,13.7,6.2,57.0,76.0,27.6
TC19696,F,18.0,13.5,6.1,57.0,76.0,28.4
TC19696,F,18.4,13.4,6.1,60.0,76.0,25.6
VS06799,M,18.2,12.5,6.5,56.0,78.5,26.8
VS06799,M,18.4,12.5,6.5,58.0,78.0,27.3
VS06799,M,18.4,12.4,6.3,59.0,78.5,26.9
VS06799,M,18.5,12.3,6.0,59.0,80.0,25.3
VS50136,M,19.5,12.7,6.4,56.5,77.3,27.6
VS50136,M,19.3,12.5,6.2,57.0,76.0,28.5
VS50136,M,19.2,13.2,6.2,,80.0,28.2
VS50139,M,18.3,13.1,6.5,61.0,78.0,26.2
VS50139,M,18.2,13.5,6.1,59.0,79.0,26.2
VS50140,M,17.0,13.5,6.3,57.0,77.0,25.7
VS50140,M,16.8,12.9,6.0,59.0,77.5,25.7
VS50141,F,19.7,14.0,6.4,58.5,78.7,30.0
VS50141,F,19.8,13.9,6.3,59.0,77.0,28.0
VS50141,F,19.8,14.3,6.3,60.0,79.0,28.8
VS50141,F,19.9,13.4,6.4,60.0,79.0,31.0
VS50188,F,17.8,12.9,6.2,54.0,73.5,26.6
VS50188,F,17.9,13.3,6.2,55.0,75.0,27.5
VV78215,M,19.6,13.5,6.7,58.0,78.5,27.6
VV78215,M,19.4,14.0,6.7,56.0,78.0,28.0
VV78215,M,19.5,13.7,6.1,58.0,79.0,28.7
VV78215,M,19.7,13.9,6.2,58.0,80.0,27.7
VV78261,M,19.1,13.4,6.4,60.0,78.7,25.6
VV78261,M,19.1,13.0,6.6,62.0,80.0,25.6
VV78261,M,19.3,13.4,6.4,61.0,80.0,26.2
VX04201,M,17.7,13.2,6.7,56.8,77.2,26.7
VX04201,M,17.5,13.5,6.5,56.0,76.0,27.8
VX04201,M,17.7,13.3,6.9,57.0,77.0,26.6
VX04201,M,18.0,13.2,6.5,59.0,78.0,26.4
VX04207,M,18.2,13.4,6.8,64.0,76.0,27.2
VX04207,M,18.5,13.4,6.5,58.0,79.0,26.5
VX04208,M,18.1,12.9,6.4,55.0,75.7,26.3
VX04208,M,18.1,12.5,6.8,54.0,76.0,29.3
VX04208,M,18.2,12.9,6.2,55.0,76.7,27.5
VX04208,M,18.2,13.0,6.3,55.0,76.0,28.5
VX04211,M,18.7,13.6,6.8,59.0,79.0,28.0
VX04211,M,18.5,13.4,6.8,58.0,79.0,26.5
VX04222,F,18.9,13.9,6.7,55.0,76.0,25.6
VX04222,F,18.8,13.9,6.7,55.0,75.0,25.5
VX04226,F,19.3,13.0,6.5,57.0,76.0,28.5
VX04226,F,19.0,12.6,7.0,56.0,75.0,31.1
VX04226,F,19.2,12.3,6.6,57.0,76.0,28.0
VX04228,F,18.1,13.8,6.7,57.0,78.0,27.0
VX04228,F,18.2,13.2,6.6,56.7,76.0,27.8
VX04228,F,18.5,13.5,6.4,58.0,77.0,27.0
VX04229,M,18.2,13.8,6.5,58.0,78.0,25.4
VX04229,M,18.2,13.5,6.1,60.0,78.0,27.3
VX04229,M,18.3,13.2,6.3,59.0,78.0,27.2
VX04252,F,19.2,13.2,6.4,59.5,77.0,27.4
VX04252,F,19.1,12.8,6.0,59.0,78.5,29.8
VX04279,M,19.8,13.9,6.8,59.0,80.0,28.9
VX04279,M,20.0,14.0,6.4,60.0,80.0,31.0
VX04284,M,18.0,13.6,6.4,57.0,80.0,27.8
VX04284,M,18.3,13.1,6.2,60.0,81.0,26.5
VX04286,M,17.9,13.8,6.6,58.0,78.5,26.6
VX04286,M,18.0,13.7,7.0,58.0,78.0,25.5
VX04286,M,18.2,13.3,6.6,59.5,79.5,26.6
VX04286,M,18.5,13.1,6.7,60.0,80.0,27.2
VX04291,F,18.7,12.8,6.7,59.0,78.0,28.1
VX04291,F,18.8,12.8,6.5,58.0,77.0,27.8
VX04291,F,19.0,13.0,6.7,62.0,78.0,25.8
VX04291,F,18.6,13.2,6.5,60.0,79.0,26.8
VX04299,M,17.8,13.5,6.5,57.0,77.0,26.0
VX04299,M,17.5,14.1,6.5,55.0,76.0,26.5
VX04299,M,17.6,13.1,6.2,59.0,78.0,23.8
VX04306,M,18.8,12.6,6.9,58.0,80.0,27.3
VX04306,M,18.8,12.4,6.4,56.0,79.0,26.3
VX04306,M,18.6,12.3,6.2,58.5,80.0,27.0
VX04306,M,19.0,12.5,6.0,60.0,81.0,25.7
VX04311,F,17.8,13.5,6.5,53.0,75.0,27.8
VX04311,F,17.8,13.0,6.5,52.0,74.0,26.3
VX04325,M,18.7,13.4,6.6,63.0,81.0,30.0
VX04325,M,18.0,14.0,6.7,62.0,80.0,29.0
VX04325,M,18.7,13.5,6.6,64.0,81.0,33.1
VX04326,M,17.6,13.1,6.4,60.5,78.0,26.9
VX04326,M,17.6,13.0,6.6,60.0,77.0,28.8
VX04326,M,17.4,13.2,6.2,61.0,78.5,26.6
VX04326,M,17.6,13.2,6.5,62.0,79.0,28.8
VX04336,M,17.0,14.3,6.3,55.0,78.0,26.0
VX04336,M,16.8,13.8,6.5,56.0,76.0,24.5
VX04353,M,18.1,12.7,6.2,57.0,78.0,27.5
VX04353,M,18.0,12.9,6.6,55.0,76.0,27.3
VX04363,F,19.8,12.8,6.4,58.0,76.0,27.2
VX04363,F,19.4,13.2,6.3,58.5,77.5,28.0
VX04363,F,19.6,13.1,6.4,57.5,77.5,26.6
VX04363,F,19.5,13.2,6.1,59.0,79.0,27.5
VX04365,M,18.7,12.7,6.4,60.2,79.6,26.0
VX04365,M,18.5,12.7,6.4,59.3,78.7,26.9
VX04365,M,18.6,12.2,6.3,61.0,80.0,25.4
VX04365,M,18.8,12.5,6.4,61.0,80.0,24.9
VX04369,F,19.2,14.1,6.6,56.0,77.0,26.5
VX04369,F,19.2,13.9,6.8,56.5,76.3,26.5
VX04369,F,19.0,13.7,6.6,57.0,78.0,24.5
VX04369,F,19.0,14.0,6.3,55.0,77.0,26.1
VX04378,M,19.4,13.7,6.3,59.0,81.0,30.7
VX04378,M,19.0,13.7,6.9,58.0,80.0,30.5
VX04378,M,19.5,13.0,6.4,60.0,81.0,30.0
VX04378,M,19.8,13.0,6.1,60.0,81.0,30.9
VX04391,M,18.9,13.2,6.8,61.0,80.0,28.2
VX04391,M,18.4,13.0,6.9,60.0,81.0,30.3
VX04406,M,19.0,13.9,6.7,63.0,81.0,28.8
VX04406,M,18.5,14.5,6.7,60.0,80.0,28.8
VX04406,M,18.6,13.6,6.5,63.0,82.0,27.8
VX04406,M,18.6,14.3,6.5,64.5,82.0,31.8
VX04422,M,18.1,12.8,6.5,60.8,81.0,29.5
VX04422,M,17.8,13.5,6.7,60.0,79.0,29.0
VX04422,M,18.1,12.4,6.5,62.0,82.0,26.5
VX04422,M,18.0,13.0,6.5,63.0,82.0,28.2
VX04447,M,19.4,13.2,6.4,60.0,81.0,26.8
VX04447,M,19.3,12.6,6.1,60.0,80.0,26.2
VX04447,M,19.5,12.5,5.9,60.0,83.0,25.8
VX04453,F,18.0,13.2,6.3,55.0,75.0,28.7
VX04453,F,18.3,13.4,6.0,57.0,74.0,24.8
VX04453,F,18.1,13.3,6.1,56.0,76.0,27.7
VX04453,F,18.4,13.5,6.2,59.0,76.0,25.0
VX04465,M,20.0,13.7,6.6,62.0,80.0,31.4
VX04465,M,19.0,13.5,6.6,62.0,80.0,31.0
VX04467,F,16.9,13.5,6.2,56.0,74.0,24.6
VX04467,F,18.0,13.4,6.0,56.0,74.0,24.3
VX04467,F,17.3,12.6,6.0,58.0,75.0,25.2
VX04467,F,18.0,13.1,6.1,57.0,75.0,24.0
VX04471,F,17.0,12.8,5.8,57.0,76.0,25.6
VX04471,F,17.1,12.1,6.3,58.0,75.0,26.1
VX04473,F,17.4,13.0,6.3,56.0,77.0,26.5
VX04473,F,17.4,13.2,6.2,55.0,75.0,25.5
VX04473,F,17.6,13.2,6.3,56.5,76.0,25.9
VX04473,F,17.5,13.2,6.0,58.0,78.0,24.9
VX04486,M,18.9,14.1,6.7,58.0,79.0,26.9
VX04486,M,18.6,14.2,6.5,56.0,78.3,27.2
