Survival,Sex,Mass2,BroodSize,JulianDate
0,F,2.25,4,105
0,F,4.25,4,105
1,M,3.75,4,105
1,F,3,4,105
0,F,2.5,4,105
0,F,2,4,106
0,M,2,4,106
0,M,1.5,4,106
1,M,3.75,3,107
1,F,4,3,107
1,F,1.75,3,107
1,F,4.5,4,109
1,M,4.75,4,109
1,M,4.5,4,109
0,M,2.25,4,109
0,M,5.75,2,112
0,M,3.5,2,112
1,F,4.5,4,114
0,F,4.25,4,114
0,M,2.75,4,114
1,M,3.5,5,116
1,F,4,5,116
1,F,3.5,5,116
0,M,2,5,116
0,F,2,5,116
0,M,5,4,117
1,M,4.25,4,117
1,M,4.5,4,117
1,F,2.25,4,117
1,M,4.25,3,117
1,F,3.75,3,117
1,M,2.75,3,117
1,F,4.5,2,121
1,F,4.5,2,121
1,M,4.5,5,130
1,M,5,5,130
1,F,5.25,5,130
1,M,2.5,5,130
0,M,3.75,5,130
1,F,6.75,5,129
1,M,7,5,129
1,M,5.75,5,129
1,F,6.75,5,129
1,M,4.25,5,129
1,F,5,4,130
1,F,5.5,4,130
0,F,4,4,130
0,M,3.75,4,130
1,F,6.5,2,130
1,M,6.5,2,130
1,F,7.75,3,129
1,F,6.75,3,129
1,F,5.25,3,129
1,F,5.5,4,130
1,F,5.5,4,130
1,F,4.5,4,130
0,M,2,4,130
1,M,4.2,4,134
1,M,2.25,4,134
0,M,1.75,4,134
1,M,3.75,3,135
1,F,3.5,3,135
0,M,2.75,3,135
0,M,3.8,5,26
0,F,3.3,5,26
0,F,2.8,5,26
0,F,2,5,26
0,F,4.3,5,26
0,F,2,5,26
0,F,2.3,5,26
0,F,1.8,5,26
0,F,1.8,5,26
0,M,3.3,2,28
0,M,2.9,2,28
0,F,4.2,5,29
0,F,3.8,5,29
0,F,3.5,5,29
0,F,3.7,5,29
0,M,3.6,5,29
0,F,2.9,4,29
1,M,2.9,4,29
0,M,2.5,4,29
0,M,4,4,30
0,M,3.9,4,30
0,F,3.5,4,30
0,M,5,3,30
0,M,4.2,3,30
0,M,3.2,5,30
0,F,3,5,30
0,M,3.2,5,30
0,M,3,5,30
0,F,2,5,30
1,M,4.5,4,31
0,M,4.5,4,31
1,M,4.4,4,31
0,F,3.8,4,31
0,M,3.5,3,31
0,F,3.4,3,31
0,M,3.1,3,31
0,F,2.8,2,32
0,M,2.4,2,32
0,M,2.2,5,32
0,M,2.4,5,32
1,M,4.6,5,32
1,M,4.7,5,32
1,F,4.5,5,32
0,M,1.8,4,33
0,F,1.8,4,33
0,M,1.6,4,33
0,M,1.6,4,33
0,F,3.1,3,33
0,F,2.4,3,33
0,F,1.4,3,33
0,M,2.6,5,33
0,M,2,5,33
0,F,1.5,5,33
0,F,1.4,5,33
0,M,2.3,4,34
0,M,2.3,4,34
0,M,1.8,4,34
0,F,1.8,4,34
0,M,2.3,4,34
0,M,2,4,34
0,M,2.3,4,34
0,M,1.9,4,34
0,F,2.8,4,34
1,M,2.7,4,34
0,F,2.3,4,34
1,M,2.1,4,34
0,M,3.4,4,34
0,F,3.5,4,34
0,F,3.2,4,34
0,M,3.1,4,34
0,M,4.1,1,34
0,M,3.3,4,34
0,F,3.5,4,34
0,F,2.6,4,34
0,F,2.6,4,34
0,F,3.9,3,35
0,M,4.1,3,35
0,F,2.9,3,35
0,F,5.2,3,35
1,F,4.3,3,35
0,F,3.3,3,35
1,M,5,3,35
1,M,4.4,3,35
0,M,4.3,3,35
0,M,4.8,3,36
0,F,3.9,3,36
0,M,3,3,36
0,M,3.8,2,36
0,F,2.1,2,36
0,F,3.7,3,36
0,M,3.5,3,36
0,F,2.8,3,36
0,F,2.5,5,36
0,M,3.1,5,36
0,M,2.9,5,36
0,M,2.5,5,36
0,M,1.9,5,36
0,F,4,5,37
0,M,4.8,5,37
0,F,4.2,5,37
0,M,3.2,5,37
0,M,2.4,5,37
0,M,3.9,4,37
0,M,2.6,4,37
0,M,3.3,4,37
0,M,1.8,4,37
0,M,4.2,4,38
1,F,4.2,4,38
0,M,3,4,38
0,M,2.8,4,38
0,M,3.2,5,38
0,F,2.8,5,38
0,M,2.7,5,38
0,F,2.4,5,38
0,M,2.2,5,38
0,M,3.3,2,39
1,F,4,3,39
0,F,4,3,39
0,F,2,3,39
0,M,5.5,2,40
1,M,4.4,2,40
1,F,5.7,4,40
1,F,5,4,40
1,M,4.1,4,40
0,M,2.3,4,40
1,M,5.8,4,40
1,F,4.8,4,40
1,F,4.6,4,40
0,M,1.6,4,40
1,M,3.6,4,41
1,M,3,4,41
1,M,3,4,41
0,M,2.7,4,41
0,M,3.4,4,41
0,M,3.6,4,41
0,M,2.6,4,41
0,M,2.5,4,41
1,F,4.4,4,41
1,M,3.6,4,41
1,F,3.4,4,41
0,M,2.7,4,41
0,M,6.9,4,41
1,M,5.2,4,41
0,F,3.1,4,41
0,F,3,4,41
0,F,3.4,5,42
0,M,3,5,42
0,F,3.3,5,42
0,F,3,5,42
0,F,1.8,5,42
0,M,2.4,4,42
0,F,2.8,4,42
0,F,2.4,4,42
0,M,1.8,4,42
1,F,4.2,2,42
1,F,4,2,42
0,F,2.9,1,42
0,M,3.4,2,43
0,F,2.6,2,43
0,F,2.5,2,43
0,F,2,2,43
0,F,3,5,43
0,M,3.2,5,43
0,F,2.7,5,43
0,F,2.5,5,43
0,F,2.1,5,43
0,M,2,3,44
0,F,2.2,3,44
0,F,2.1,3,44
0,M,3.3,3,44
0,F,3.3,3,44
0,M,3.2,3,44
0,F,4.3,4,48
1,M,4.4,4,48
0,F,4.3,4,48
0,F,4.2,4,48
0,M,4.3,4,48
0,F,3.7,4,48
0,F,2.4,4,48
0,M,1.9,4,48
0,F,3.8,4,48
0,M,3.4,4,48
0,F,3.1,4,48
1,M,4.4,3,49
0,F,4.3,3,49
1,F,3,3,49
1,F,5.5,4,49
1,M,5.4,4,49
1,F,4.5,4,49
1,F,3.7,2,51
0,F,3.8,2,51
1,F,3.7,2,51
1,F,5,4,54
1,F,4.7,4,54
1,F,4.1,4,54
1,M,2.7,4,54
1,F,5.4,5,55
0,M,5.3,5,55
0,M,4.9,5,55
1,M,4.9,5,55
1,M,5.6,3,55
1,M,6.3,3,55
0,M,4.2,3,55
0,M,6.3,2,56
0,F,5.5,2,56
1,M,6.1,4,56
1,M,4.7,4,56
0,F,5.8,4,56
0,M,2.7,4,56
0,F,4.2,4,56
0,M,4.3,4,56
0,M,3,4,56
0,F,1.9,4,56
1,F,4.3,4,57
1,M,4.1,4,57
1,F,3.5,4,57
0,F,2.8,4,57
0,F,4.1,4,57
1,M,3.5,4,57
0,F,3.7,4,57
0,F,2.4,4,57
1,M,4.8,4,57
0,M,4.6,4,57
1,F,5.5,4,57
1,M,7.9,4,57
1,M,4.7,2,58
1,F,4.2,2,58
0,F,5.1,2,58
0,M,3.5,2,58
0,M,4.3,3,59
0,F,3.7,3,59
0,F,3.8,3,59
1,F,4.8,4,59
1,M,4.9,4,59
0,M,4.4,4,59
1,M,2.6,4,59
1,F,4.6,4,59
1,M,4.6,4,59
1,M,4.1,4,59
1,F,2.7,4,59
1,F,4.1,5,59
0,F,4.2,5,59
1,F,4,5,59
0,M,2.2,5,59
0,F,2,5,59
1,F,5.3,4,60
1,M,4.3,4,60
1,F,4.4,4,60
0,M,2,4,60
1,M,4.9,4,60
1,F,5,4,60
1,M,2.8,4,60
0,F,2.8,3,60
0,M,2.8,3,60
0,F,2.6,3,60
0,M,2.4,2,60
0,F,2.7,2,60
1,F,4.2,3,60
1,F,3.8,3,60
1,F,3.2,3,60
1,F,4.7,5,60
1,F,3.5,5,60
0,F,3.2,5,60
1,F,3,5,60
0,M,2.3,5,60
1,F,4.6,4,61
0,M,4.9,4,61
1,M,5,4,61
1,F,3.5,4,61
1,M,4.6,3,61
1,F,3.6,3,61
1,F,3.8,3,61
1,F,5.3,3,60
0,M,4.4,3,60
1,M,4.2,3,60
1,M,4.8,3,61
1,F,4.3,3,61
1,M,3.4,3,61
1,M,5.9,3,61
0,F,3.9,3,61
1,M,5.3,3,61
1,M,5.6,3,62
1,F,5.6,3,62
1,M,5.4,3,62
1,M,5.8,2,62
1,M,5.2,2,62
1,F,6.1,1,62
0,M,2.5,2,63
0,F,2.9,2,63
0,F,3.1,3,66
1,F,3.3,3,66
0,F,3.7,3,66
0,F,4.7,5,66
0,F,4.9,5,66
1,F,3.8,5,66
1,F,4.5,5,66
0,M,2,5,66
1,F,6.3,4,67
1,M,5.8,4,67
1,M,4.8,4,67
0,F,2.6,4,67
0,F,5.8,4,69
1,M,5.6,4,69
1,F,5,4,69
0,M,2.7,4,69
0,M,5.3,4,69
0,F,5.5,4,69
0,F,4.9,4,69
0,F,3,4,69
1,F,4.7,4,70
1,F,4.1,4,70
1,F,4.3,4,70
0,M,2.5,4,70
0,F,5.6,2,71
0,M,4.6,2,71
1,M,5.3,4,71
1,M,5.3,4,71
0,F,3.1,4,71
1,F,4.3,4,71
0,F,4.1,4,71
0,M,4.5,4,71
0,M,3.5,4,71
1,M,6.5,3,72
1,F,4.4,3,72
0,M,3.1,5,72
0,F,4.3,4,73
0,F,3.6,4,73
0,M,3.5,4,73
0,M,2.7,4,73
0,M,4.2,2,73
1,F,4,2,73
0,F,6.3,3,73
0,F,5.5,3,73
0,M,2,3,73
0,M,3.5,4,74
1,M,3.3,4,74
1,M,2.9,4,74
0,M,2.4,4,74
0,M,3.8,1,74
1,F,5.9,2,77
0,M,5.7,2,77
0,M,3.9,4,78
0,M,4.5,4,78
0,M,4.4,4,78
0,M,2,4,78
1,M,3.8,2,79
0,F,2,2,79
0,M,2,1,80
0,F,3.9,4,80
0,M,4.3,4,80
0,M,4.5,4,80
0,F,3.4,4,80
0,M,4.8,4,81
0,M,5.3,4,81
0,F,4.8,4,81
0,F,2.5,4,81
0,M,4,3,81
0,F,2.9,3,81
1,M,3.8,5,82
0,M,3.2,5,82
1,M,2.6,5,82
1,F,2.2,5,82
0,F,4.1,4,82
0,F,3.9,4,82
1,F,2.7,4,82
1,F,2.1,4,82
0,F,4.2,2,82
1,F,2.3,2,82
0,F,5.4,4,83
0,M,5.3,4,83
0,F,4.1,4,83
0,F,2.5,4,83
0,F,3.4,2,83
0,F,4.5,2,83
0,M,2.1,2,83
0,M,3.1,4,83
0,F,2.6,4,83
1,F,1.9,4,83
1,M,1.8,4,83
1,M,5.6,3,83
0,M,5.8,3,83
1,M,4.9,3,83
0,M,3,4,86
0,M,3.2,4,86
1,F,2,4,86
1,F,2.6,4,86
0,F,4.1,4,88
0,F,3.2,4,88
0,F,2.2,4,88
1,F,5.3,3,88
1,F,4.7,3,88
1,M,3,3,88
0,F,4.3,4,94
0,M,4.1,4,94
0,M,4.2,4,94
1,M,3.1,4,94
1,M,5.9,4,95
0,F,5.9,4,95
0,F,4.5,4,95
0,M,5,4,95
0,F,3.6,2,95
0,M,2.2,2,95
1,F,2.7,3,95
1,M,2.1,3,95
1,M,6,3,96
0,M,4.9,3,96
0,M,3.7,3,96
0,M,4.4,5,96
0,F,3,5,96
0,M,3.3,5,96
0,F,2.1,5,96
0,F,1.9,5,96
0,F,3.2,4,96
0,M,3.1,4,96
1,F,3.2,4,96
1,F,2.2,4,96
0,M,4.8,3,98
0,F,4.1,3,98
0,M,2.3,3,98
0,F,3.1,3,98
1,M,3.2,3,98
1,M,1.8,3,98
1,M,4.3,2,98
1,F,2.4,2,98
0,M,5.4,2,98
1,M,5,2,98
0,F,4.2,4,99
0,F,3.7,4,99
0,F,3.4,4,99
0,M,2.5,4,99
0,M,3.4,4,99
0,F,3.2,4,99
0,M,2.5,4,99
1,F,2.7,4,99
1,M,4.8,2,99
0,M,4.8,2,99
0,F,6.3,4,100
0,M,5.8,4,100
0,F,5.1,4,100
1,F,3.7,4,100
0,M,2.7,2,100
0,F,1.9,2,100
0,F,4.5,4,101
1,M,3.9,4,101
0,F,2.9,4,101
1,F,2.8,4,101
0,M,4.2,2,102
0,M,2.4,2,102
1,F,3.4,4,101
0,F,3,4,101
1,F,2.5,4,101
1,M,2.4,4,101
0,M,4.6,4,101
0,F,4.1,4,101
0,F,3.8,4,101
0,M,2.2,4,101
1,M,4.6,3,101
0,F,4.4,3,101
0,F,2.4,3,101
0,M,4.5,2,102
0,M,3.5,2,102
0,F,2.2,2,102
0,M,2,2,102
0,M,3,4,107
0,F,2.7,4,107
0,M,2.2,4,107
0,M,1.9,4,107
0,F,4.8,2,107
0,F,5.2,2,107
0,M,5.1,1,107
0,M,4.8,3,108
0,M,4.6,3,108
0,M,3,3,108
0,M,6.2,3,109
0,M,6.8,3,109
0,F,3.7,3,109
0,M,3.6,4,111
0,M,3.1,4,111
1,M,2.4,4,111
1,F,1.7,4,111
1,M,4.8,2,111
1,F,4.4,2,111
1,M,4.7,3,113
1,F,5.4,3,113
0,M,4.6,3,113
0,F,3.9,1,117
0,F,4.1,3,118
1,M,4.4,3,118
1,M,3,3,118
1,M,4.3,3,119
1,M,4.5,3,119
0,M,1.8,3,119
0,M,4.3,4,119
0,F,4.8,4,119
0,F,2.7,4,119
0,M,2.2,4,119
0,M,3.7,3,120
1,F,4,3,120
1,M,2.5,3,120
1,M,4.2,4,120
1,M,4.1,4,120
0,M,2.5,4,120
1,F,2,4,120
1,F,5.6,3,120
0,F,4.1,3,120
0,F,2.2,3,120
1,M,3.4,2,121
1,M,1.8,2,121
1,M,4.6,3,121
0,F,3.8,3,121
0,M,3.1,3,121
1,F,3.9,3,121
1,M,2.8,3,121
0,F,1.8,3,121
1,M,5.7,4,121
0,M,4.7,4,121
1,M,2.8,4,121
0,M,2.5,4,121
1,M,3.7,3,122
0,M,3.7,3,122
0,M,2.2,3,122
1,M,5.2,3,122
0,M,4.6,3,122
0,M,2.6,3,122
1,M,3.3,3,123
1,F,2.4,3,123
0,M,1.8,3,123
1,F,2.7,1,123
0,F,3.4,3,123
0,F,2.8,3,123
0,M,2.5,3,123
0,F,3.2,2,123
0,F,2.7,2,123
0,F,2.6,4,22
0,M,2.4,4,22
0,M,1.2,4,22
0,F,1.2,4,22
0,F,4.9,2,22
0,F,2.7,2,22
0,F,1.9,3,23
0,F,1.7,3,23
0,F,1.6,3,23
0,F,2.5,2,30
0,F,2,2,30
0,F,5.8,1,30
0,F,4.5,1,38
0,M,4.7,3,39
0,F,3.6,3,39
0,M,2.8,3,39
0,M,3.8,2,39
0,M,3.2,2,39
0,M,3.4,2,40
0,F,3.4,2,40
0,M,4.1,3,40
0,M,3.3,3,40
1,F,2.6,3,40
0,M,2.1,3,41
0,M,1.4,3,41
0,F,1.4,3,41
0,M,3,2,41
0,M,2,2,41
0,F,2.7,3,41
0,F,2.4,3,41
0,M,1.7,3,41
0,M,5.1,5,42
0,M,3.4,5,42
0,F,2.6,5,42
0,F,2.1,5,42
0,M,1.6,5,42
0,M,4.7,3,42
1,M,3.3,3,42
0,F,1.6,3,42
0,M,4.3,3,43
1,F,3.6,3,43
0,M,2.8,3,43
0,M,2.8,4,43
1,M,2.4,4,43
0,F,2.7,4,43
0,F,2.1,4,43
0,F,3.4,4,43
0,F,4.2,4,43
0,F,2.6,4,43
0,F,2.6,4,43
0,F,2.9,4,43
0,F,2.7,4,43
0,M,2.3,4,43
0,M,1.6,4,43
0,M,4.1,3,43
1,M,3.7,3,43
0,M,2.2,3,43
0,F,3.7,2,43
0,M,3.5,2,43
0,F,4.9,5,43
0,F,4,5,43
0,M,2.6,5,43
0,M,2,5,43
0,M,1.8,5,43
0,F,4.4,2,44
0,F,3.2,2,44
0,F,4.7,3,44
0,M,4,3,44
0,F,2.7,3,44
0,M,3.4,3,44
0,M,3.3,3,44
0,M,2.8,3,44
0,M,3.6,4,44
0,M,3.4,4,44
1,M,2.7,4,44
1,F,2.4,4,44
1,M,4.5,5,45
1,F,4.4,5,45
0,F,4.1,5,45
1,F,3.4,5,45
0,F,2.6,5,45
1,F,4.7,4,45
1,F,4,4,45
1,F,3.5,4,45
1,M,3.2,4,45
1,F,3.1,2,45
0,M,3.1,2,45
1,M,4.6,5,45
1,M,3.6,5,45
0,F,3.9,5,45
1,M,3.5,5,45
1,F,1.8,5,45
1,M,3.8,5,45
0,M,3.6,5,45
0,M,3.4,5,45
0,M,2.5,5,45
0,F,1.8,5,45
1,M,3.8,5,45
0,F,3.3,5,45
1,M,3,5,45
1,M,2.6,5,45
0,M,2.3,5,45
1,M,4.9,4,45
1,M,4.5,4,45
0,F,3.5,4,45
0,M,2.3,4,45
0,M,3.6,4,45
0,F,3.3,4,45
0,F,3.1,4,45
0,F,2.3,4,45
0,F,3.2,5,45
0,M,3.5,5,45
1,F,3,5,45
1,F,2.6,5,45
1,M,2.1,5,45
0,F,4.6,4,45
1,M,4,4,45
1,F,3.7,4,45
1,M,2.8,4,45
0,F,3.4,2,47
1,M,2.4,2,47
0,F,1.9,4,47
0,M,1.7,4,47
0,M,1.8,4,47
1,M,1.4,4,47
1,F,2.5,5,47
1,M,2.4,5,47
0,F,1.9,5,47
0,M,1.8,5,47
0,M,1.7,5,47
0,M,5.2,4,48
0,M,3.6,4,48
0,M,2.8,4,48
0,F,1.8,4,48
0,F,3.8,5,48
0,M,4.1,5,48
1,M,3.3,5,48
1,M,3.4,5,48
0,M,2.8,5,48
0,F,6,4,48
1,M,5,4,48
1,M,4.5,4,48
0,F,1.2,4,48
0,M,3.7,4,48
1,F,4.9,4,48
1,M,3.5,4,48
0,F,1.9,4,48
1,F,6.1,5,48
1,M,6.1,5,48
1,M,5,5,48
1,F,4.1,5,48
1,M,3.1,5,48
0,F,4.8,3,48
0,F,4.3,3,48
0,M,4.2,3,48
0,F,4.7,2,48
0,F,4.3,2,48
0,F,4,4,49
1,F,4.3,4,49
0,F,4.1,4,49
0,F,3.9,4,49
0,F,3.5,4,49
0,F,3.3,4,49
0,M,3.4,4,49
1,F,3.1,4,49
1,M,3.8,5,49
1,F,3.3,5,49
1,F,3.3,5,49
1,F,2,5,49
0,F,1.5,5,49
0,F,4,3,49
0,F,3.2,3,49
0,F,2.6,3,49
0,M,4.6,3,49
0,M,3.9,3,49
0,M,3,3,49
0,M,3.7,3,50
0,M,3.7,3,50
0,M,3.4,3,50
0,F,3.5,2,50
0,M,2.7,2,50
0,M,3.9,5,50
0,F,4.2,5,50
0,F,4.1,5,50
0,F,3.8,5,50
0,F,2.1,5,50
0,F,4,5,50
1,F,3.2,5,50
0,M,2.8,5,50
0,F,2.8,5,50
0,F,3,5,50
0,F,4.2,4,51
1,M,3.7,4,51
0,F,3.1,4,51
0,M,3.8,4,51
0,F,3.5,4,51
0,F,3.2,6,52
0,F,2.8,6,52
1,F,3,6,52
0,F,2.9,6,52
0,M,2.4,6,52
0,M,2.1,6,52
0,F,2.3,3,53
0,F,2.5,3,53
0,F,2.3,3,53
0,F,6.7,3,53
0,M,5.6,3,53
0,F,3.4,3,53
0,M,5.4,4,53
0,M,4.8,4,53
0,M,4.9,4,53
0,M,4.3,4,53
0,F,3.7,3,53
0,F,3.7,3,53
0,F,2.9,3,53
0,M,3.5,3,54
1,F,3.9,3,54
0,F,2.7,3,54
1,F,5.5,5,73
1,F,5.4,5,73
0,F,4.9,5,73
1,F,4,5,73
0,M,2,5,73
0,F,2.8,2,74
0,F,2.3,2,74
1,F,3.6,1,74
1,F,5.3,4,74
1,F,4.8,4,74
1,F,4.8,4,74
1,F,3.4,4,74
0,M,3.3,2,74
0,M,4.9,5,74
1,F,4.7,5,74
1,M,4.5,5,74
0,M,3.3,5,74
0,M,1.9,5,74
1,M,4.1,3,74
1,M,4.2,3,74
0,M,3.9,3,74
1,M,4.7,5,75
0,F,4.1,5,75
1,F,4.1,5,75
0,F,3.2,5,75
0,F,3,5,75
0,M,3.4,3,75
0,F,3.3,3,75
0,M,3.1,3,75
0,F,4.6,2,75
0,F,3.6,2,75
1,F,3.7,3,76
0,F,3.9,3,76
1,M,3.8,3,76
1,M,4.5,5,76
1,M,4.4,5,76
1,F,3.9,5,76
1,M,3.7,5,76
1,M,2.1,5,76
1,F,3.9,3,76
0,M,3.7,3,76
0,M,2.3,3,76
1,F,3.9,2,76
1,F,3.1,2,76
1,F,4.8,4,77
1,F,4.4,4,77
1,M,4.1,4,77
1,M,3.9,4,77
1,M,5.4,3,78
1,F,4.6,3,78
1,F,2.8,3,78
0,M,4.6,1,78
1,F,5.2,4,78
1,F,4.9,4,78
1,F,3.1,4,78
1,M,2.8,4,78
1,M,3.9,2,79
0,F,2.6,2,79
1,M,3.6,5,80
1,M,3.4,5,80
0,F,2.8,5,80
0,F,1.8,5,80
0,F,1.8,5,80
1,F,3.6,3,81
0,F,3.2,3,81
0,F,2,3,81
1,F,4.7,5,81
1,M,4.4,5,81
0,F,4.2,5,81
1,F,4.1,5,81
0,M,2.3,5,81
0,F,4.3,2,81
0,M,3.9,2,81
0,M,6.1,4,81
1,F,5.4,4,81
1,M,5.2,4,81
1,F,3.7,4,81
0,F,4,5,81
0,F,3.6,5,81
0,M,3.4,5,81
0,F,3.2,5,81
0,M,2.3,5,81
1,F,5.7,5,82
1,M,5.6,5,82
1,M,5.7,5,82
1,M,5.5,5,82
1,M,4.5,5,82
0,F,5,5,82
0,F,3.8,5,82
0,F,3.4,5,82
0,M,3.4,5,82
0,F,5,5,83
0,F,4.7,5,83
1,F,4.4,5,83
1,M,4.2,5,83
1,F,2.2,5,83
0,M,3.5,4,83
0,M,3.4,4,83
0,F,2.8,4,83
0,M,2,4,83
0,F,4.6,5,83
1,M,4.2,5,83
1,F,3.9,5,83
1,F,3.4,5,83
0,F,2.6,5,83
0,F,6,1,83
0,M,5.5,4,84
1,F,5.3,4,84
1,F,4.7,4,84
1,M,5,4,84
0,M,3.9,5,85
1,F,4.4,5,85
0,M,4,5,85
1,M,3.2,5,85
1,F,2.4,5,85
1,M,4.7,3,87
1,M,3.8,3,87
0,F,1.9,3,87
0,F,3.1,4,87
0,F,2.8,4,87
0,M,2.5,4,87
0,F,2.1,4,87
0,F,4.5,4,87
0,F,3.6,4,87
0,M,3.1,4,87
0,F,2,4,87
1,F,3,6,87
1,F,3,6,87
0,M,2.7,6,87
0,M,2.5,6,87
0,M,2.3,6,87
0,M,1.2,6,87
1,F,4,4,88
1,M,4.1,4,88
1,M,4.2,4,88
0,F,2,4,88
1,F,4.1,5,90
0,F,4,5,90
0,M,3.9,5,90
0,F,3.1,5,90
0,F,2.2,5,90
0,M,4.9,2,90
0,M,3.7,2,90
0,M,4.1,5,90
0,F,3.4,5,90
0,M,3.4,5,90
0,M,3.3,5,90
0,F,1.8,5,90
1,F,5.9,4,90
1,F,5.9,4,90
1,M,4.9,4,90
0,F,2.7,4,90
0,F,4.4,2,91
1,F,4.6,2,91
1,M,4.2,4,92
1,F,4.1,4,92
1,M,3.8,4,92
0,F,2.8,4,92
1,M,5.9,4,93
1,F,4.9,4,93
1,F,4.7,4,93
1,M,4.1,4,93
0,F,1.5,1,94
0,M,3.5,5,95
1,F,3.3,5,95
0,M,2.8,5,95
0,F,2.6,5,95
0,M,2.2,5,95
1,M,4.1,5,95
0,M,3,5,95
1,M,2.9,5,95
1,F,2.7,5,95
0,M,2.1,5,95
1,F,5.2,4,95
1,M,4.7,4,95
1,F,4.7,4,95
1,M,3.7,4,95
0,F,4.1,4,97
0,F,3.7,4,97
0,M,3.4,4,97
0,M,2.6,4,97
0,M,3.8,5,97
0,M,3.9,5,97
0,M,2.8,5,97
0,M,2.8,5,97
0,F,2.4,5,97
1,M,5.9,3,98
1,M,5.1,3,98
1,M,4.2,3,98
1,F,4.9,3,98
1,F,4.5,3,98
0,M,2.3,3,98
1,F,5.9,2,100
0,M,5.4,2,100
1,F,5,4,101
0,F,4.6,4,101
1,M,4.1,4,101
0,F,2.6,4,101
1,F,4.7,2,102
0,M,3.4,2,102
0,F,5.9,1,103
1,F,4.2,3,103
1,F,3.9,3,103
0,M,3.3,3,103
1,M,6,4,103
1,M,5.9,4,103
0,F,5,4,103
1,F,3,4,103
0,F,5.4,3,103
1,F,4.9,3,103
0,F,3.9,3,103
1,F,5.9,2,103
1,M,3.9,2,103
0,M,4.2,2,106
0,M,3.3,2,106
1,F,4.3,2,106
1,F,4.2,2,106
1,F,9.6,4,105
1,M,8.5,4,105
0,F,6.9,4,105
0,F,4.9,4,105
1,F,5.6,2,109
1,M,4.4,2,109
1,F,4.6,4,109
1,F,4.1,4,109
1,M,2.4,4,109
0,F,2.4,4,109
1,F,7.1,1,109
1,M,5.6,5,110
1,F,5.7,5,110
1,F,5.3,5,110
1,F,4.3,5,110
